project_name,project_by,location,Build_Up_Area,Unit_Types,Price,about_project,Project status,possesion,launched,rera_no
Estella Maple Square,By Estella Projects Pvt Ltd. in Kasavanahalli,Kasavanahalli,1348 - 1556 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														49.20L  - 56.79L 							",,Ongoing,Possession: Dec-2018,,
Purnima Platina,By Purnima Build Tech in Kasavanahalli,Kasavanahalli,1450 - 1717 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														56.55L  - 66.96L 							",,Ongoing,Possession: Jul-2017,,
Dreamz Suvarna,By Dreamz Infra India Pvt Ltd in Koramangala,Koramangala,1500 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														53.75L 							",,Ongoing,,,
Avant Casa Blanco,By Avant Grade Estates in Koramangala,Koramangala,1758 - 3450 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														2.10Cr  - 4.14Cr 							",,Ongoing,Possession: Oct-2017,,
Apranje Elan,By Apranje Estates Limited in Koramangala,Koramangala,1861 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														2.74Cr 							",,Ongoing,Possession: Jul-2017,,
Saroj Daffodils,By Saroj Group in Whitefield,Whitefield, sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														 
														49.32L  - 58.42L 							",,Ongoing,Possession: Aug-2017,,
SMD Altezz,By SMD Homes in Kadugodi,Kadugodi,1475 - 1670 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														64L  - 72.46L 							",,Ongoing,Possession: Dec-2019,Launched: Dec-2017, REGISTRATION NO. PR/KN/170804/001082
Poorvaja Apartment,By Yogakshema Builders in Kengeri,Kengeri,1666 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														 
														1.61Cr 							",,Ongoing,Possession: Dec-2018,,
Supreme Sapphire,By Supreme Developers And Builders in Kengeri,Kengeri,1385 - 1430 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														42.93L  - 44.33L 							",,Ongoing,Possession: Apr-2019,Launched: Apr-2016,
Sreereddy Mahalasa,By SreeReddy Properties in K R Puram,K R Puram,900 - 936 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														 
														36L  - 37.44L 							",,Ongoing,Possession: Dec-2017,Launched: Sep-2016,
Cubical Antera Ela,By Cubical Properties in K R Puram,K R Puram,1290 - 1580 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														NA							",,Ongoing,,,
White Lotus Tamara,By White Lotus Lifescapes Pvt. Ltd in Indira Nagar,Indira Nagar,2158 - 2692 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														3.23Cr  - 4.03Cr 							",,Ongoing,Possession: Dec-2017,,
Hoysala Ace Phase II,By Hoysala Projects Pvt Ltd in Sahakara Nagar,Sahakara Nagar,1671 - 1919 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														1.24Cr  - 1.42Cr 							",,Ongoing,Possession: Mar-2018,, REGISTRATION NO. PR/KN/170730/000472
Fortuna Acacia,By Fortuna Constructions India Pvt Ltd in Sahakara Nagar,Sahakara Nagar,1300 - 1630 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														71.50L  - 89.65L 							",,Ongoing,Possession: Oct-2018,, REGISTRATION NO. PR/KN/170731/000834
Sahasra Grand,By Sahasra Builders And Developers in Kalyan Nagar,Kalyan Nagar,1410 - 1875 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														60.63L  - 80.62L 							",,Ongoing,Possession: Sep-2017,,
