Project_name,project_by,location,Super Built Area,Price Range,Price Per Sq Ft,Description,Project Status,possession_date,Bedrooms,units,towers,unit_price,rera_no,lat_lng
"
GR Luxuria
",5 Elements Realty,"
in HSR Layout
, Bangalore

 
","1545
sqft","₹
1.15 Cr","₹
7,443 per
sqft","
Description:


It is an airy & ventilated Home in GR Luxuria, HSR Layout. This spacious Home has an area of 1545 Sq-ft is on floor 4 of 5 levels. Approx 1. 15 Cr is the expected price of Home. Each tower offers 1 lifts. With 3 room along  



",Under Construction,"
Possession in 2018
","
3 BHK
Apartment

",35 Units ,1 Towers ,"(2 BHK Flat->1250 sqft), (2 BHK Flat->1255 sqft), (2 BHK Flat->1320 sqft), (3 BHK Flat->1440 sqft), (3 BHK Flat->1545 sqft), (3 BHK Flat->1595 sqft), (3 BHK Flat->1695 sqft) ",,"lat=12.908906,longt=77.51243"
"
Janaadhar Shubha
",Janaadhar India Private Limited,"
in Attibele
, Bangalore

 
","656
sqft","₹
18.0 Lac","₹
2,744 per
sqft","
Description:


It is an airy & ventilated spacious Apartment situated in Janaadhar Shubha, Attibele. 16. 4 Lac is the cost for the Apartment. Offering 2 bedroom and 2 bathroom, the Apartment is Unfurnished. The Apartment brings facilities  



",Ongoing,"
Possession in 2018
","
2 BHK
Apartment

",1128 Units ,21 Towers ,(2 BHK Flat->656 sqft) ,,"lat=12.908906,longt=77.51243"
"
Sumo Sonnet
",Sumo Group,"
in Kudlu Gate
, Bangalore

 
","1300
sqft","₹
94.0 Lac","₹
7,228 per
sqft","
Description:


This is a beautiful Flat in Sumo Sonnet, Kudlu Gate. Featuring 3 bedroom along with 2 bathrooms, this Flat is Unfurnished. 72. 8 Lac is the price of the Flat. This elegantly designed Flat brings facilities like Swimming  



",Under Construction,"
Possession in 2018
","
3 BHK
Apartment

",172 Units ,3 Towers ,"(2 BHK Flat->940 sqft), (2 BHK Flat->945 sqft), (3 BHK Flat->1145 sqft), (3 BHK Flat->1205 sqft), (3 BHK Flat->1230 sqft), (3 BHK Flat->1300 sqft) ",,"lat=12.908906,longt=77.51243"
"
Ajantha Prime
",5 Elements Realty,"
in Electronic City
, Bangalore

 
","1275
sqft","₹
44.6 Lac","₹
3,498 per
sqft","
Description:


An abode being constructed with two towers of twelve floors each, with 2, 3 is designed to cater to needs of privacy, ambience, natural lighting and abundant ventilation, and comes with all modern amenities like multipurpose  



",Ready To Move,"
Possession in 2018
","
2 BHK
Apartment

",115 Units ,2 Towers ,"(2 BHK Flat->970 sqft), (2 BHK Flat->1000 sqft), (2 BHK Flat->1040 sqft), (2 BHK Flat->1050 sqft), (2 BHK Flat->1100 sqft), (2 BHK Flat->1120 sqft), (2 BHK Flat->1160 sqft), (2 BHK Flat->1175 sqft), (2 BHK Flat->1190 sqft), (2 BHK Flat->1220 sqft), (2 BHK Flat->1275 sqft), (2 BHK Flat->1300 sqft), (2 BHK Flat->1465 sqft), (2 BHK Flat->1525 sqft), (2 BHK Flat->1555 sqft), (2 BHK Flat->1615 sqft), (2 BHK Flat->1640 sqft), (2 BHK Flat->1645 sqft), (3 BHK Flat->1425 sqft), (3 BHK Flat->1615 sqft), (3 BHK Flat->1645 sqft) ",,"lat=12.908906,longt=77.51243"
"
Suraksha Landmark
",Sai Suraksha Properties,"
in Bannerghatta Road
, Bangalore

 
","1025
sqft","₹
53.7 Lac","₹
5,239 per
sqft","
Description:


It is an airy & ventilated Flat in Suraksha Landmark, Bannerghatta Road. With 2 room along with 2 bathrooms, this Flat is Unfurnished. Vitrified is used on floors. There is provision for car parking. This fantastic Flat  



",Ongoing,"
Possession in 2018
","
2 BHK
Apartment

",126 Units ,4 Towers ,"(2 BHK Flat->1025 sqft), (2 BHK Flat->1035 sqft), (2 BHK Flat->1040 sqft), (2 BHK Flat->1045 sqft), (2 BHK Flat->1050 sqft), (2 BHK Flat->1060 sqft), (2 BHK Flat->1180 sqft), (3 BHK Flat->1310 sqft), (3 BHK Flat->1315 sqft), (3 BHK Flat->1325 sqft), (3 BHK Flat->1345 sqft), (3 BHK Flat->1350 sqft), (3 BHK Flat->1370 sqft), (3 BHK Flat->1380 sqft), (3 BHK Flat->1385 sqft), (3 BHK Flat->1390 sqft), (3 BHK Flat->1395 sqft), (3 BHK Flat->1400 sqft), (3 BHK Flat->1430 sqft), (3 BHK Flat->1455 sqft), (3 BHK Flat->1460 sqft), (3 BHK Flat->1485 sqft), (3 BHK Flat->1490 sqft), (3 BHK Flat->1500 sqft), (3 BHK Flat->1510 sqft), (3 BHK Flat->1535 sqft), (3 BHK Flat->1550 sqft), (3 BHK Flat->1695 sqft), (3 BHK Flat->1710 sqft), (3 BHK Flat->1735 sqft), (3 BHK Flat->1760 sqft), (3 BHK Flat->1820 sqft) ",,"lat=12.908906,longt=77.51243"
"
Pyramid Bilberry
",Pyramid Homes Pvt Ltd.,"
in Thanisandra Main Road
, Bangalore

 
","981
sqft","₹
31.3 Lac","₹
3192 per
sqft","
Description:


Pyramid Bilberry is an upcoming project of Pyramid Builders with a prime location in Thanisandra, Bangalore. The project will offer thoughtfully designed apartments to ensure maximum comfort for residents. Furthermore, its  



",Under Construction,"
Possession in 2018
","
3 BHK
Apartment

",200 Units ,1 Towers ,"(2 BHK Flat->664 sqft), (2 BHK Flat->1183 sqft), (3 BHK Flat->981 sqft), (3 BHK Flat->1507 sqft) ",,"lat=12.908906,longt=77.51243"
"
Ecolife Elements Of Nature
",Ecolife Developers,"
in Varthur
, Bangalore

 
","1385
sqft","₹
63.0 Lac","₹
4,550 per
sqft","
Description:


This spacious Unit has an area of 1385 Sq-ft is on 4th floor of total 10 floors in building. Each tower has 1 elevators for convienence. Featuring 3 bedroom and 2 bathroom, the Unit is Semi-Furnished. This elegantly designed  



",Under Construction,"
Possession in 2018
","
2 BHK
Apartment

",299 Units ,1 Towers ,"(2 BHK Flat->1251 sqft), (2 BHK Flat->1260 sqft), (2 BHK Flat->1310 sqft), (2 BHK Flat->1320 sqft), (2 BHK Flat->1330 sqft), (2 BHK Flat->1385 sqft), (3 BHK Flat->1565 sqft), (3 BHK Flat->1595 sqft) ",,"lat=12.908906,longt=77.51243"
"
Platina Exotica
",Platina Venture,"
in Mysore Road
, Bangalore

 
","1333
sqft","₹
53.3 Lac","₹
3,998 per
sqft","
Description:


PLATINA EXOTICA A Luxury Resiential project in a prime location adjoing BDA layout at Kengeri. Kengeri has always been one the most preferred residential areas in the city of Bangalore. Beautifully laid out residential area  



",Under Construction,"
Possession in 2018
","
2 BHK
Apartment

",188 Units ,7 Towers ,"(2 BHK Flat->1084 sqft), (2 BHK Flat->1110 sqft), (2 BHK Flat->1111 sqft), (2 BHK Flat->1114 sqft), (2 BHK Flat->1136 sqft), (2 BHK Flat->1155 sqft), (2 BHK Flat->1168 sqft), (2 BHK Flat->1186 sqft), (2 BHK Flat->1214 sqft), (2 BHK Flat->1220 sqft), (2 BHK Flat->1263 sqft), (2 BHK Flat->1288 sqft), (2 BHK Flat->1302 sqft), (2 BHK Flat->1305 sqft), (2 BHK Flat->1327 sqft), (2 BHK Flat->1333 sqft), (2 BHK Flat->1360 sqft), (3 BHK Flat->1346 sqft), (3 BHK Flat->1348 sqft), (3 BHK Flat->1349 sqft), (3 BHK Flat->1445 sqft), (3 BHK Flat->1477 sqft), (3 BHK Flat->1478 sqft), (3 BHK Flat->1496 sqft), (3 BHK Flat->1497 sqft), (3 BHK Flat->1498 sqft), (3 BHK Flat->1513 sqft), (3 BHK Flat->1528 sqft), (3 BHK Flat->1661 sqft), (3 BHK Flat->1692 sqft) ",,"lat=12.908906,longt=77.51243"
"
Orchid Whitefield
",Goyal & Co Hariyana Group,"
in Whitefield
, Bangalore

 
","750
sqft","₹
52.7 Lac","₹
7,028 per
sqft","
Description:


It is a well-designed Apartment located in Orchid Whitefield, Whitefield. Apart from great space, it has state-of-the-art amenities like Swimming Pool, Club House and Internet/Wi-Fi Connectivity. Featuring 2 bedroom and 2  



",Ongoing,"
Ongoing
","
2 BHK
Apartment

",492 Units ,5 Towers ,"(2 BHK Flat->750 sqft), (2 BHK Flat->1123 sqft), (2 BHK Flat->1173 sqft), (2 BHK Flat->1350 sqft), (3 BHK Flat->1520 sqft), (3 BHK Flat->1544 sqft), (3 BHK Flat->1564 sqft), (3 BHK Flat->1610 sqft) ",,"lat=12.911755,longt=77.6684"
"
SMR Vinay Estella
",SMR Holdings,"
in Yelahanka
, Bangalore

 
","1460
sqft","₹
52.6 Lac","₹
3,600 per
sqft","
Description:


We understand the value of your hard-earned money. We know the hard work you put in to fulfill your familys dreams. We realize how difficult it is to give up your familiar surroundings and venture into a whole new territory.  



",Under Construction,"
Possession in 2018
","
2 BHK
Apartment

",315 Units ,3 Towers ,"(2 BHK Flat->1230 sqft), (2 BHK Flat->1240 sqft), (2 BHK Flat->1245 sqft), (2 BHK Flat->1285 sqft), (2 BHK Flat->1310 sqft), (2 BHK Flat->1460 sqft), (3 BHK Flat->1615 sqft), (3 BHK Flat->1645 sqft), (3 BHK Flat->1750 sqft), (3 BHK Flat->1795 sqft), (3 BHK Flat->1935 sqft), (3 BHK Flat->2010 sqft) ",,"lat=12.908906,longt=77.51243"
